,WELL,Mbd2_g1,Safe_g1,Safe_g2
0,A1,2072,4,0
1,A10,1307,3,0
2,A11,382,6,0
3,A12,7731,6,0
4,A13,4,831,0
5,A14,5,146,0
6,A15,1,476,0
7,A16,2,12,0
8,A17,7,3776,0
9,A18,0,11,0
10,A19,3,3257,0
11,A2,1312,4,0
12,A20,4,146,0
13,A21,5,1037,0
14,A22,3,18800,0
15,A23,1,20090,0
16,A24,3,5412,0
17,A3,11061,8,0
18,A4,8157,6,0
19,A5,74,1,0
20,A6,5135,4,0
21,A7,288,2,0
22,A8,120,1,0
23,A9,939,2,0
24,B1,1612,8,0
25,B10,7621,6,0
26,B11,141,4,0
27,B12,10,7,0
28,B13,1,2332,0
29,B14,3,10101,0
30,B15,4,727,0
31,B16,0,489,0
32,B17,6,58594,0
33,B18,3,3908,0
34,B19,6,39240,0
35,B2,656,10,0
36,B20,5,3696,0
37,B21,8,585,0
38,B22,2,32,0
39,B23,1,277,0
40,B24,6,522,0
41,B3,5441,7,0
42,B4,274,4,0
43,B5,7876,8,0
44,B6,8328,6,0
45,B7,201,4,0
46,B8,23,6,0
47,B9,3528,4,0
48,C1,191,4,0
49,C10,2711,4,0
50,C11,517,3,0
51,C12,7968,2,0
52,C13,2,2627,0
53,C14,4,3287,0
54,C15,1,4597,0
55,C16,0,6653,0
56,C17,1,25,0
57,C18,1,4164,0
58,C19,3,289,0
59,C2,3436,4,0
60,C20,2,834,0
61,C21,1,843,0
62,C22,1,6042,0
63,C23,2,622,0
64,C24,3,5354,0
65,C3,6,2,0
66,C4,62,3,0
67,C5,2573,3,0
68,C6,1630,2,0
69,C7,752,2,0
70,C8,5,1,0
71,C9,8002,4,0
72,D1,95,6,0
73,D10,3,7,0
74,D11,1052,5,0
75,D12,889,8,0
76,D13,0,9,0
77,D14,0,13802,0
78,D15,1,3310,0
79,D16,2,293,0
80,D17,0,59,0
81,D18,1,413,0
82,D19,1,2930,0
83,D2,9,7,0
84,D20,1,38048,0
85,D21,5,71758,95
86,D22,0,40,0
87,D23,0,31,0
88,D24,0,32970,0
89,D3,1069,6,0
90,D4,8718,9,0
91,D5,4461,10,0
92,D6,3,4,0
93,D7,205,11,0
94,D8,86,3,0
95,D9,134,4,0
96,E1,122,8,0
97,E10,2821,8,0
98,E11,139,7,0
99,E12,2941,13,0
100,E13,0,638,0
101,E14,3,286,0
102,E15,1,1027,0
103,E16,2,36,0
104,E17,12,158615,0
105,E18,3,591,0
106,E19,0,2182,0
107,E2,5742,11,0
108,E20,0,1752,0
109,E21,5,14951,0
110,E22,2,233,0
111,E23,0,5064,0
112,E24,3,74,0
113,E3,683,4,0
114,E4,4218,9,0
115,E5,1940,5,0
116,E6,13,3,0
117,E7,2059,8,0
118,E8,3,7,0
119,E9,1646,8,0
120,F1,801,1,0
121,F10,218,3,0
122,F11,7,0,0
123,F12,2165,3,0
124,F13,1,10836,0
125,F14,1,6620,0
126,F15,1,178,0
127,F16,1,15117,0
128,F17,7,2432,0
129,F18,0,280,0
130,F19,2,23,0
131,F2,4,3,0
132,F20,3,30,0
133,F21,4,7532,0
134,F22,1,1763,0
135,F23,1,823,0
136,F24,7,23627,0
137,F3,5,3,0
138,F4,14366,10,0
139,F5,8692,6,0
140,F6,791,1,0
141,F7,1373,4,0
142,F8,481,4,0
143,F9,166,3,0
144,G1,13,9,0
145,G10,10,1,0
146,G11,319,3,0
147,G12,3704,4,0
148,G13,3,1553,0
149,G14,1,24,0
150,G15,2,3292,0
151,G16,6,4501,0
152,G17,13,44,0
153,G18,2,685,0
154,G19,11,39,0
155,G2,82,4,0
156,G20,8,42855,123
157,G21,16,8346,0
158,G22,5,13167,0
159,G23,4,21,0
160,G24,10,4458,0
161,G3,2304,1,0
162,G4,930,3,0
163,G5,33601,20,0
164,G6,14042,5,0
165,G7,8,2,0
166,G8,579,3,0
167,G9,4023,7,0
168,H1,1107,3,0
169,H10,6062,0,0
170,H11,11,1,0
171,H12,9534,3,0
172,H13,2,804,0
173,H14,3,3144,0
174,H15,4,7028,0
175,H16,6,4342,0
176,H17,3,1745,0
177,H18,2,2136,0
178,H19,9,17703,0
179,H2,6443,3,0
180,H20,5,6038,0
181,H21,5,6408,0
182,H22,5,23,0
183,H23,4,2210,0
184,H24,12,16324,0
185,H3,7,3,0
186,H4,10147,4,0
187,H5,6045,4,0
188,H6,2866,1,0
189,H7,575,4,0
190,H8,4024,0,0
191,H9,9077,5,0
192,I1,213,3,0
193,I10,5,0,0
194,I11,1923,2,0
195,I12,1882,2,0
196,I13,0,3442,0
197,I14,0,915,0
198,I15,1,25316,0
199,I16,0,1314,0
200,I17,3,226,0
201,I18,1,3585,0
202,I19,1,10209,0
203,I2,106,5,0
204,I20,2,6477,52
205,I21,0,1693,1
206,I22,0,4967,0
207,I23,0,3641,0
208,I24,2,248,0
209,I3,6362,5,0
210,I4,610,2,0
211,I5,6,10,0
212,I6,2,2,0
213,I7,1,1,0
214,I8,1914,1,0
215,I9,1237,2,0
216,J1,11,8,0
217,J10,6877,4,0
218,J11,9444,9,0
219,J12,868,2,0
220,J13,4,527,0
221,J14,4,11747,0
222,J15,3,443,0
223,J16,7,657,0
224,J17,12,6325,0
225,J18,2,304,0
226,J19,7,46536,0
227,J2,54331,13,0
228,J20,6,1734,0
229,J21,10,738,0
230,J22,5,2236,0
231,J23,3,18433,0
232,J24,11,16093,0
233,J3,4,3,0
234,J4,3522,1,0
235,J5,12,4,0
236,J6,1755,1,0
237,J7,2325,4,0
238,J8,9,2,0
239,J9,11,4,0
240,K1,4,0,0
241,K10,4819,3,0
242,K11,415,1,0
243,K12,339,0,0
244,K13,4,705,0
245,K14,0,7396,0
246,K15,2,3988,12
247,K16,4,10,0
248,K17,0,10,0
249,K18,1,238,0
250,K19,3,144,0
251,K2,89,1,0
252,K20,1,1655,0
253,K21,2,5015,0
254,K22,4,2636,0
255,K23,0,1925,0
256,K24,2,140,0
257,K3,913,1,0
258,K4,23,1,0
259,K5,523,1,0
260,K6,690,0,0
261,K7,103,0,0
262,K8,6526,4,0
263,K9,10981,1,0
264,L1,181,0,0
265,L10,879,0,0
266,L11,15136,6,0
267,L12,46437,9,0
268,L13,3,1040,0
269,L14,7,4525,0
270,L15,5,919,0
271,L16,5,637,0
272,L17,4,7382,0
273,L18,2,943,0
274,L19,9,636,0
275,L2,2861,5,0
276,L20,11,3382,0
277,L21,10,402,0
278,L22,14,20704,0
279,L23,9,14,0
280,L24,9,7768,0
281,L3,3533,1,0
282,L4,526,5,0
283,L5,9764,3,0
284,L6,7280,1,0
285,L7,19,1,0
286,L8,1720,2,0
287,L9,16,1,0
288,M1,220,2,0
289,M10,5,3,0
290,M11,4278,4,0
291,M12,3376,2,0
292,M13,1,1212,0
293,M14,1,1031,0
294,M15,1,15381,0
295,M16,2,8588,0
296,M17,4,18824,58
297,M18,0,9,0
298,M19,2,10517,0
299,M2,617,6,0
300,M20,0,17002,0
301,M21,1,12390,0
302,M22,0,18,0
303,M23,1,644,0
304,M24,0,1023,0
305,M3,3,4,0
306,M4,616,5,0
307,M5,4,4,0
308,M6,3756,0,0
309,M7,2,3,0
310,M8,275,3,0
311,M9,3,4,0
312,N1,333,2,0
313,N10,2,2,0
314,N11,1434,7,0
315,N12,1050,2,0
316,N13,0,107,0
317,N14,0,6340,0
318,N15,0,210,0
319,N16,0,1767,0
320,N17,2,26,0
321,N18,0,6,0
322,N19,1,2617,0
323,N2,2154,1,0
324,N20,1,30205,0
325,N21,2,23,0
326,N22,0,7628,0
327,N23,0,95,0
328,N24,1,2537,0
329,N3,1262,3,0
330,N4,3,2,0
331,N5,2,3,0
332,N6,110,1,0
333,N7,459,2,0
334,N8,3912,3,0
335,N9,567,3,0
336,O1,5,3,0
337,O10,8975,7,0
338,O11,560,2,0
339,O12,467,3,0
340,O13,2,3121,0
341,O14,0,9786,0
342,O15,0,2736,0
343,O16,0,1515,0
344,O17,1,5499,0
345,O18,2,211,0
346,O19,0,150,0
347,O2,392,1,0
348,O20,0,12257,0
349,O21,2,6990,0
350,O22,2,9819,0
351,O23,0,11083,0
352,O24,0,1059,0
353,O3,252,1,0
354,O4,3,4,0
355,O5,6,1,0
356,O6,14,4,0
357,O7,6,5,0
358,O8,94,2,0
359,O9,101,2,0
360,P1,8,4,0
361,P10,134,3,0
362,P11,192,4,0
363,P12,977,4,0
364,P13,1,13,0
365,P14,1,20,0
366,P15,2,65,0
367,P16,6,628,0
368,P17,7,8217,0
369,P18,0,269,0
370,P19,6,3108,0
371,P2,296,7,0
372,P20,6,6657,0
373,P21,9,1340,0
374,P22,5,63958,0
375,P23,3,2397,0
376,P24,8,666,0
377,P3,2475,1,0
378,P4,10569,9,0
379,P5,24549,6,0
380,P6,7,0,0
381,P7,4231,7,0
382,P8,5592,3,0
383,P9,8,6,0
